Abashiri,35759
Abira,7340
Aibetsu,2605
Akabira,9698
Akaigawamura,1165
Akkeshi,8892
Asahikawa,329306
Ashibetsu,12555
Ashoro,6563
Atsuma,4432
Bestukai,14380
Bibai,20413
Biei,9668
Bifuka,4145
Bihoro,18697
Biratori,4776
Chippubetsu,2329
Chitose,97950
Date,32826
Eniwa,70331
Enbetsu,2520
Engaru,19241
Ebetsu,121056
Erimo,4374
Esashi,7428
Fukagawa,20039
Furano,21131
Furubira,2745
Haboro,6548
Hakodate,251084
Hamanaka,5507
Hamatonbetsu,3448
Hidaka,11279
Higashikagura,10127
Higashikawa,8314
Hiroo,6387
Hokuryuu,1724
Hokuto,44302
Honbetsu,6618
Horokanai,1370
Horonobe,2371
Ikeda,6294
Imagane,5072
Ishikari,56869
Iwamizawa,79306
Iwanai,11648
Kamifurano,10348
Kamikawa,3500
Kaminokuni,4306
Kamishihoro,4778
Kamisunagawa,2841
Yuubetu,8270
Kamienai,870
Kenbuchi,2926
Kikonai,3832
Kimobetsu,2156
Kitahiroshima,58171
Kitami,115480
Kyosato,3883
Koshimizu,4623
Kunneppu,4677
Kuriyama,11272
Kuromatsunai,2791
Kushiroshi,165007
Kushirotyo,19105
Kuttyan,15129
Kyougoku,2941
Kyouwa,5772
Makkari,2045
Makubetsu,25766
Mashike,3908
Matsumae,6260
Memuro,18048
Mikasa,8040
Minamifurano,2376
Monbetsu,21215
Mori,14338
Moseushi,2693
Mukawa,7651
Muroran,82383
Naganuma,10289
Naie,5120
Nakafurano,4733
Nakagawa,1528
Nakasatsunai,3884
Nakashibetu,23010
Nakatonbetsu,1637
Nanae,27686
Nanporo,7319
Nayoro,27282
Nemuro,24636
Niikappu,5309
Niki,3180
Niseko,5074
Nishiokoppe,1053
Noboribetsu,46391
Numata,2909
Obihiro,166536
Obira,2994
Oketo,2775
Okoppe,3628
Okushiri,2410
Oumu,4199
Osyamanbe,5109
Otaru,111299
Otobe,3403
Otohuke,43576
Otoineppu,706
Oozora,6775
Pippu,3520
Rankoshi,4568
Rausu,4722
Rebun,2509
Rikubetsu,2264
Rishiri,2004
Rishirihuji,2458
Rumoi,20114
Rusutsu,1911
Samani,4043
Sapporo,1973395
Sarabetsu,3080
Saroma,4875
Sarufutsu,2611
Setana,7398
Syakotan,1831
Shari,11418
Shibetya,7230
Shibetsu,17858
Shihoro,5848
Shikabe,3760
Shikaoi,5266
Shimamaki,1356
Shimizu,9094
Shimokawa,3126
Shimukappu,1306
Shinhidaka,21517
Shinshinotsu,3044
Shintoku,5817
Shintotsukawa,6484
Shiranuka,7289
Shiraoi,16212
Shiriuti,4167
Shosanbetsu,1080
Soubetu,2743
Sunagawa,16486
Sttu,1
Taiki,5420
Takasu,6567
Takikawa,39490
Takinoue,2421
Teshikaga,6955
Teshio,2950
Toubetsu,15916
Touma,6319
Tomakomai,170113
Tomamae,2936
Tomari,1569
Touyako,8442
Toyokoro,3022
Toyotomi,3974
Toyoura,3821
Tsubetsu,4373
Tsukigata,3691
Tsurui,2558
Urahoro,4387
Urakawa,12074
Urausu,1732
Uryuu,2389
Utashinai,2989
Wakkanai,33563
Wassamu,3192
Yakumo,15826
Yoiti,18000
Yuubari,7334
Yuubetsu,8270
Yuni,4822
Assabu,3592
Fukushima,3794
esashi,7565
shibetsu,5023
